食堂,楼层,窗口,餐品,场景状态,形态偏好,口味感受,忌口,预算,备注,
一食堂,一楼,鸡蛋灌饼,鸡蛋灌饼,快点吃,煎饼类,酥脆蛋香,,4,,
一食堂,一楼,鸡蛋灌饼,鸡蛋灌饼加烤肠,快点吃,煎饼类,酥脆蛋香,,6,,
一食堂,一楼,鸡蛋灌饼,鸡蛋灌饼加鸡柳,快点吃,煎饼类,酥脆蛋香,,6,,
一食堂,一楼,鸡蛋灌饼,鸡蛋灌饼加鸡肉,快点吃,煎饼类,酥脆蛋香,,6,,
一食堂,一楼,鸡蛋灌饼,鸡蛋灌饼加肉松,快点吃,煎饼类,酥脆蛋香,,6,,
一食堂,一楼,鸡蛋灌饼,鸡蛋灌饼加辣条,快点吃,煎饼类,酥脆蛋香,,6,,
一食堂,一楼,杂粮煎饼,杂粮煎饼,快点吃,煎饼类,香脆,,6,,
一食堂,一楼,杂粮煎饼,煎饼加辣条,快点吃,煎饼类,香脆麻辣,,7,,
一食堂,一楼,杂粮煎饼,煎饼加烤肠,快点吃,煎饼类,香脆,,8,,
一食堂,一楼,杂粮煎饼,煎饼加鸡肉,快点吃,煎饼类,香脆,,9,,
一食堂,一楼,杂粮煎饼,煎饼加鸡柳,快点吃,煎饼类,香脆,,9,,
一食堂,一楼,杂粮煎饼,煎饼加肉松,快点吃,煎饼类,香脆,,9,,
一食堂,一楼,饭团,原味饭团,快点吃,饭团,原味,,6,,
一食堂,一楼,饭团,鸡肉饭团,快点吃,饭团,咸香,,9,,
一食堂,一楼,饭团,鸡柳饭团,快点吃,饭团,咸香,,9,,
一食堂,一楼,饭团,烤肠饭团,快点吃,饭团,咸香,,9,,
一食堂,一楼,饭团,肉松饭团,快点吃,饭团,咸香,,9,,
一食堂,一楼,饭团,鸡蛋饭团,快点吃,饭团,咸香,,8,,
一食堂,一楼,方便面,康师傅系列方便面,快点吃,面食,多样,,6,,
一食堂,一楼,方便面,汤达人系列方便面,快点吃,面食,多样,,8,,
一食堂,一楼,方便面,三养火鸡面,快点吃,面食,辛辣,,9,,
一食堂,一楼,方便面,白象系列方便面,快点吃,面食,多样,,6,,
一食堂,一楼,方便面,辛拉面系列方便面,快点吃,面食,多样,,8,,
一食堂,一楼,炒面/炒饭,原味烤冷面,快点吃,小吃,咸香,,6,,
一食堂,一楼,炒面/炒饭,肉松烤冷面,快点吃,小吃,咸香,,9,,
一食堂,一楼,炒面/炒饭,鸡肉烤冷面,快点吃,小吃,咸香,,11,,
一食堂,一楼,炒面/炒饭,小酥肉烤冷面,快点吃,小吃,咸香,,12,,
一食堂,一楼,炒面/炒饭,牛肉烤冷面,快点吃,小吃,咸香,,13,,
一食堂,一楼,炒面/炒饭,培根烤冷面,快点吃,小吃,咸香,,9,,
一食堂,一楼,炒面/炒饭,烤肠烤冷面,快点吃,小吃,咸香,,8,,
一食堂,一楼,炒面/炒饭,孜然羊肉炒饭,不限制,炒饭,孜然香,,15,,
一食堂,一楼,炒面/炒饭,牛肉炒饭,不限制,炒饭,咸香,,15,,
一食堂,一楼,炒面/炒饭,鸡肉炒饭,不限制,炒饭,咸香,,12,,
一食堂,一楼,炒面/炒饭,培根炒饭,不限制,炒饭,咸香,,11,,
一食堂,一楼,炒面/炒饭,腊肠炒饭,不限制,炒饭,咸香,,11,,
一食堂,一楼,炒面/炒饭,肉沫炒饭,不限制,炒饭,咸香,,11,,
一食堂,一楼,炒面/炒饭,老干妈炒饭,不限制,炒饭,香辣,,10,,
一食堂,一楼,山西刀削面,葱花油泼面,不限制,面食,香辣,,6,,
一食堂,一楼,山西刀削面,西红柿鸡蛋面,不限制,面食,酸甜,,6,,
一食堂,一楼,山西刀削面,京味打卤面,不限制,面食,咸香,,10,,
一食堂,一楼,山西刀削面,京味炸酱面,不限制,面食,咸香,,10,,
一食堂,一楼,山西刀削面,传统猪肉面,不限制,面食,咸香,,12,,
一食堂,一楼,山西刀削面,传统牛肉面,不限制,面食,咸香,,13,,
一食堂,一楼,武汉热干面,红油热干面,不限制,面食,香辣,,7,,
一食堂,一楼,武汉热干面,干捞肉酱面,不限制,面食,咸香,,9,,
一食堂,一楼,武汉热干面,香辣牛肉面,不限制,面食,香辣,,13,,
一食堂,一楼,武汉热干面,香辣燃面,不限制,面食,香辣,,8,,
一食堂,一楼,武汉热干面,肉沫酸豆角汤面,不限制,面食,酸辣,,8,,
一食堂,一楼,武汉热干面,番茄牛肉面,不限制,面食,酸甜,,13,,
一食堂,一楼,武汉热干面,特制肉酱汤面,不限制,面食,咸香,,9,,
一食堂,一楼,米线,鱼豆腐米线,不限制,米线,咸鲜,,10,,
